# position,title,source,price,extracted_price,old_price,delivery,thumbnail,rating,reviews,store_rating,store_reviews
1,Samsung STSAS134DCPWP Straight Talk Galaxy A03s 32GB Black - Prepaid Smartphone,Walmart,$39.88,39.88,NA,12.4 mi · In stock · In‑store pickup · Free 90-day returns,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcT-sgt8pdqYwRRZB0PbmJh9gjTAju82qCK0Xwme-GAjKkXcLNi0o_D08-F7AYzBKfGifwreAm5EZQ&usqp=CAE,3.9,4537,4.5,7
2,Nokia 2760 Flip 4GB Tracfone Prepaid Feature Phone Black,eBay - tracfonewireless,$19.99,19.99,NA,Free delivery by Mon Apr 29,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSvkeKUuB6QcfFRBJ8hOeyJ9ZUiWF-PgyuxHa_CWwmFN98qYpHNr4XibNlc0ExRIzVefcMgI-I&usqp=CAE,4.0,562,NA,NA
3,Apple iPhone 13 - 128 GB - Midnight - Verizon,Apple,$0.00,0.0,NA,Free delivery & Free 14-day returns,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSb6UqxmJSpVKURpSnhg7fnrlsSEzrGO8OAg2f6HSdokscJyaYLUi9WIZj9CCADl8CKjVwZVk0&usqp=CAE,4.7,38958,4.6,6500
4,Samsung Galaxy A14 - 64 GB - Black - Unlocked,Amazon,$190.99,190.99,NA,Free delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQP-Osdls-nbN2Dhqc_fH1_s58_6015j3kHXrrpAmOewNpW0rhqfrs9Iz_A0R7fbI64DX_V2iM&usqp=CAE,4.2,10022,4.5,4900
5,Motorola Moto G Stylus (2023) 128GB Midnight Blue - Cricket Wireless,Cricket Wireless,$0.00,0.0,NA,NA,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTir1V3YRLENOQVhH_qQV_vQg5j2v4UbjDaZ11xVuqPH_PGb43AwnQWwmI0VyozprRBZ9gs5YA&usqp=CAE,4.0,2084,3.7,32
6,Sudroid Mini Smartphonechild Phone SOYES The World's Smallest Cell Phone 2.5 ...,electroeshop,$62.95,62.95,NA,Free delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTZc4v68C_F3OZnHUamAdtdzZHPnymp5iTpCb22z1wU2_QY4A_wSA5lJh2C06rKc0Hd2fnqku8&usqp=CAE,NA,NA,NA,NA
7,Samsung Galaxy S23 FE - 128 GB - Purple - Unlocked,Best Buy,$599.99,599.99,NA,8.2 mi · In stock · Free 15-day returns,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSJHpAOvYn45MfOY6W16BMhRcZ5ur0nYYikEt4ss_AJKzPEL238FiViKg8KR501R6ZTjsUc3wBi&usqp=CAE,4.5,4682,4.5,797
8,Apple iPhone 14 - 128 GB - Midnight - T-Mobile,T-Mobile,$0.00,0.0,NA,3.7 mi · Limited stock,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRcC8cTXb1w_JnnRWq0wpNsuy8KPqRmqKOc_QqzAYoTi7iDOOF10BFVKQUTNckk_xrwaAxTc3gNyg&usqp=CAE,4.5,18716,NA,NA
9,Samsung Galaxy S21 FE 5G - 128 GB - Graphite - Unlocked,Amazon - Seller,$199.99,199.99,NA,Free delivery,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRzjG2E93D50qDxyXuFjes_7v8wsE7qV0XyDre-MjOzBE5OiBbXIoCcifJ-nO0u1kTmA3yIe49E&usqp=CAE,4.3,9734,NA,NA
10,Apple iPhone 12 - 128 GB - Blue - Unlocked,Target,$679.99,679.99,NA,10.5 mi · In stock · Curbside · Free 90-day returns,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQG_c61-ZSH1dLu7VgXvTJE7nFcxQ-MON7fwLTkFpbQB05I7RnD4ln3oVEETA&usqp=CAE,4.5,33891,4.6,1100
11,Motorola Razr | 2023 | Unlocked | Made for US 8/128 | 32MP Camera | Sage Green ...,ElectronicsForce,$419.99,419.99,NA,Free delivery by Fri Apr 26,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcS8-Z9pM1Ye_nCgqY62ygxjMoMCw_utgHQ1-KmVadupHQsbbXES1-2IDVTBLyrXrMQifz02nVVw&usqp=CAE,4.1,342,4.6,208
12,Apple iPhone 12 Pro - 128 GB - Graphite - AT&T,Back Market,$338.00,338.0,NA,Delivery by Wed May 1,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSDCpVuD3zpW-q2ywH2t2eH5qPTPJR8_ib8W2zI9MbtFobfnv9yFC9z8zN7Fr98EIiR7GPj5GbT&usqp=CAE,4.6,10913,4.6,12700
13,Motorola Edge - 256 GB - Solar Black - Unlocked,Cell2Get,$242.99,242.99,NA,Free delivery by Wed May 1,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRL1wKBIbWB5TmZbJYMY-tVV0kCCBRF8lO4Q4kQJNMoFpey7T5xpXEDMVZRmW_FurYkIK-k8_J6&usqp=CAE,3.9,687,4.5,252
14,Apple iPhone 11 - 64 GB - Green - Unlocked - CDMA/GSM,Carolina West Wireless,$8.31,8.31,NA,Free delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSbEaYBHMqQGlSMJu2CYUY5PYIXCKfqdiSs9F68WKCRCObn6KnC1f284NJ_9-gABQUxZeH4768X&usqp=CAE,4.5,75284,NA,NA
15,Apple iPhone 11 64gb Purple Fully Unlocked Smartphone,Newegg - TRD Digital,$231.89,231.89,NA,Free delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQn8lR73Esvlwc-EzH1V0ES6nFXoJ5TpUwar_LZsKGK62GLd_asmct42HTb9g&usqp=CAE,4.5,75284,NA,NA
16,Samsung Galaxy Z Flip3 5G,Swappa,$185.00,185.0,NA,Free delivery,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQ8Xcjrp0SeNiOOJRh9807icBAnZPG5pyINwdFFXf8RxP5tSglnBS6NYWcGADvkBAsgvpovkoIk&usqp=CAE,4.4,28417,4.9,6000
17,Samsung Galaxy A15 5G SM-156M/DSN 128GB Factory Unlocked Smartphone - Light Blue,Walmart - Cellmigo,$179.99,179.99,$203.99,Free delivery,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT1Fm8IsDM9mR359CsJrVsdskeEeJlDmP-2EBlxllwx9u1NCzJy3UwQycDmMwO-OltPn4SxCQg&usqp=CAE,4.3,2694,NA,NA
18,Samsung Galaxy A54 - 128 GB - Awesome Graphite - Unlocked,Staples,$496.99,496.99,NA,Free delivery by Fri Apr 26,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSvojxSyOFt3xbHt9xnFmzM-m49yeGgai1kGaQmvh27dgXyR6vm70QFy6eA-2OV5cI4JxuVI_ML&usqp=CAE,4.5,26359,4.1,106
